id,low,high,open,close,amount,quantity,buytakeramount,buytakerquantity,tradecount,ts,weightedaverage,interval_type,starttime,closetime,dt_create_utc,ts_create_utc,ts_insert_utc,year,month,day,hour
BTC_USDT,45210.34,45212,45210.43,45212,38636.57,0.85458,30038.42,0.664403,30,0,45211.18,MINUTE_1,1704172140,1704172199,2024-01-02,2024-01-02 05:09:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45212,45264.23,45212,45264.18,85882.05,1.897953,38484.8,0.850573,72,0,45249.83,MINUTE_1,1704172200,1704172259,2024-01-02,2024-01-02 05:10:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45237.31,45264.43,45264.23,45254.59,97892.16,2.163344,61628.75,1.361941,70,0,45250.39,MINUTE_1,1704172260,1704172319,2024-01-02,2024-01-02 05:11:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45229.13,45263.47,45253.37,45263.47,93188.03,2.059602,51306.1,1.133933,73,0,45245.65,MINUTE_1,1704172320,1704172379,2024-01-02,2024-01-02 05:12:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45248.81,45289.04,45263.42,45289.04,103811.33,2.293253,56110.75,1.239428,75,0,45268.15,MINUTE_1,1704172380,1704172439,2024-01-02,2024-01-02 05:13:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45268.29,45286.27,45276.65,45278.17,107927.39,2.383668,56974.35,1.25832,69,0,45277.86,MINUTE_1,1704172440,1704172499,2024-01-02,2024-01-02 05:14:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45277.66,45279.59,45278.03,45279.59,104701.16,2.312351,47919.16,1.058306,73,0,45279.09,MINUTE_1,1704172500,1704172559,2024-01-02,2024-01-02 05:15:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45223.38,45279.81,45279.6,45223.38,92435.02,2.042146,35569.41,0.785798,71,0,45263.68,MINUTE_1,1704172560,1704172619,2024-01-02,2024-01-02 05:16:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45209.09,45246.69,45209.09,45237.43,96305.81,2.1291,49692.18,1.098655,79,0,45233.1,MINUTE_1,1704172620,1704172679,2024-01-02,2024-01-02 05:17:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45235.64,45247.7,45237.43,45243.02,116161.94,2.567473,56808.1,1.255618,85,0,45243.68,MINUTE_1,1704172680,1704172739,2024-01-02,2024-01-02 05:18:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45231.97,45259.84,45242.78,45235.4,90271.05,1.995216,50423.03,1.114494,63,0,45243.75,MINUTE_1,1704172740,1704172799,2024-01-02,2024-01-02 05:19:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45223.2,45248.64,45225.76,45248.64,90138.79,1.99255,45688.76,1.00994,61,0,45237.9,MINUTE_1,1704172800,1704172859,2024-01-02,2024-01-02 05:20:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45231.95,45251.47,45248.84,45239.16,95568.38,2.112383,37141.66,0.820944,67,0,45241.97,MINUTE_1,1704172860,1704172919,2024-01-02,2024-01-02 05:21:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45239.12,45251.44,45239.12,45250.71,93478.32,2.065831,38236.64,0.845013,74,0,45249.74,MINUTE_1,1704172920,1704172979,2024-01-02,2024-01-02 05:22:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45250,45251.14,45250.78,45250.76,119208.9,2.634408,49537.18,1.094726,96,0,45250.73,MINUTE_1,1704172980,1704173039,2024-01-02,2024-01-02 05:23:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45250.31,45266.64,45250.66,45265.07,94275.79,2.083098,44218.51,0.977047,76,0,45257.49,MINUTE_1,1704173040,1704173099,2024-01-02,2024-01-02 05:24:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45220.69,45266.4,45264.41,45237.21,85772.44,1.895387,41083.05,0.907839,77,0,45253.26,MINUTE_1,1704173100,1704173159,2024-01-02,2024-01-02 05:25:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45235.14,45271.06,45237.26,45269.41,98128.96,2.168587,55694.63,1.230924,81,0,45250.18,MINUTE_1,1704173160,1704173219,2024-01-02,2024-01-02 05:26:59.999,2024-01-09 01:44:20.000,2024,1,2,5
BTC_USDT,45249.62,45269.79,45268.14,45249.62,123027.29,2.718184,63279.39,1.398111,104,0,45260.84,MINUTE_1,1704173220,1704173279,2024-01-02,2024-01-02 05:27:59.999,2024-01-09 01:44:20.000,2024,1,2,5
